id,famille,nom,energie,proteines,lipides,dontAGS,glucides,sucre,fibres,sodium,calcium,magnesium,fer,vitamineC,vitamineD,eau,allergene,vegetarien,visuel
1,Abats,"cervelle, agneau, cuite",126,10.8,8.8,2.6,0.8,0,0,130,6.93,15.9,3.53,12,0,77.3,,,abats
2,Abats,"cervelle, porc, braisee",138,12.1,9.51,2.15,1.07,0,0,91,9,12,1.82,14,0,75.9,,,abats
3,Abats,"cervelle, veau, cuite",135,11.5,9.63,2.18,0.6,0,0,156,16,16,1.67,13,0,76.9,,,abats
4,Abats,"coeur, agneau, cru",96.6,16.8,3.09,0.677,0.4,0.4,0,114,7.5,17,5.01,4,0.51,78.4,,,abats
5,Abats,"coeur, agneau, cuit",94.9,16.7,2.95,0.597,0.38,0,0,63,14,24,5.34,7,0,79,,,abats
6,Abats,"coeur, boeuf, cru",92.1,16.6,2.59,0.59,0.6,0.5,0,93.5,6.24,18.7,4.98,3,0.933,79.5,,,abats
7,Abats,"coeur, boeuf, cuit",94.2,16.3,2.82,0.648,0.91,0,0,59,5,21,5.62,0,0.1,79,,,abats
8,Abats,"coeur, dinde, cru",92.6,16.5,2.86,0.913,0.215,0,0,94,6,22,4.73,3,0,79.4,,,abats
9,Abats,"coeur, dinde, cuit",98.8,16.4,3.44,0.65,0.565,0,0,90,7,26,5.39,2.8,0,78.3,,,abats
10,Abats,"coeur, poulet, cru",93.2,16.4,2.76,0.564,0.7,0,0,69,12,16,5.2,3.2,0,79.5,,,abats
11,Abats,"coeur, poulet, cuit",97.5,16.8,3.08,0.666,0.65,0,0,48,19,20,4.85,1.8,0,78.7,,,abats
12,Abats,"foie, agneau, cru",136,19.1,5.15,1.47,3.25,0,0,73,6,19,6.94,19,0.5,71,,,abats
13,Abats,"foie, agneau, cuit",213,26.4,9.09,3.39,6.49,0,0,90,8.5,22.5,7.53,11.5,0.51,56.4,,,abats
14,Abats,"foie, genisse, cru",136,19,4.46,1.24,5.09,0,0,81,6,19,5.99,23,1.1,70.1,,,abats
15,Abats,"foie, genisse, cuit",164,27.4,5.5,1.78,1.26,0,0,87.2,5.99,17.5,3.9,10.3,0.855,64.1,,,abats
16,Abats,"foie, poulet, cuit",160,24.5,6.51,2.06,0.8,0,0,76,11,25,10.6,27.9,0,66.8,,,abats
17,Abats,"foie, veau, cru",128,15.4,4.1,1.95,7.33,0,0,64.8,5.36,22.4,3.98,21,0.3,72.1,,,abats
18,Abats,"foie, veau, cuit",142,25,3.96,0,1.57,0,0,89,9,28.3,5.05,13.2,2.52,67.7,,,abats
19,Abats,"foie, volaille, cuit",155,24.7,6.21,0,0.17,0,0,268,7.04,18.1,4.8,0,0.2,67.4,,,abats
20,Abats,"gesier, canard, confit, appertise",152,32.4,2.5,0.904,0,0,0,766,8.5,18.3,9.4,< 1,"< 0,5",63.9,,,abats
21,Abats,"langue, boeuf, crue",186,15.1,13.8,5.19,0.4,0.4,0,75.3,8,16.7,2.26,2.93,0,67.7,,,abats
